,inferred habitual tendency,true habitual tendency,subject,inferred policy rate,true policy rate
96,0.75974315,3.765528,96,0.8009088,0.748894
97,5.4517183,3.4310324,97,0.46458924,0.10295868
98,0.80413973,1.5414495,98,0.79867,0.7650424
99,0.68137705,1.3901925,99,0.8067895,0.9992963
100,0.76247805,4.5474463,100,0.8089498,0.75595087
101,1.1916904,3.4196432,101,0.77169836,0.9586503
102,0.9358806,1.0413448,102,0.77814996,0.36634332
103,0.62394094,1.7152551,103,0.8067006,0.13778192
104,1.0472887,4.9537544,104,0.77021295,0.5092869
105,0.8816952,3.7306008,105,0.79300475,0.03166741
106,0.6047369,4.9192286,106,0.8172839,0.11199731
107,0.8718271,5.471309,107,0.7939021,0.44966882
108,0.61406606,5.586521,108,0.8147272,0.1518293
109,0.76381385,1.898931,109,0.7978341,0.34534842
110,0.86138874,4.8831472,110,0.7859197,0.037079215
111,0.8699878,5.747805,111,0.7928445,0.26956397
112,0.602755,3.215029,112,0.8113483,0.15461564
113,5.413136,5.182698,113,0.4774921,0.09060311
114,0.85284597,2.4190867,114,0.79067564,0.55808544
115,0.7850096,2.2061272,115,0.80057025,0.6949463
116,0.61874956,5.173432,116,0.8163019,0.20262402
117,0.75694746,2.661902,117,0.793051,0.8773265
118,0.7711064,1.8205512,118,0.798504,0.73230636
119,0.8720479,5.5979424,119,0.78335863,0.7571255
120,0.73748356,1.8134236,120,0.79989827,0.82497156
121,5.388093,3.2111864,121,0.46030036,0.103895426
122,1.1364347,2.3617983,122,0.7748336,0.45915312
123,0.6351034,1.7158754,123,0.81149894,0.07758623
124,0.8077855,2.1679604,124,0.79275036,0.52044725
125,0.8733189,4.048175,125,0.7917892,0.0038272738
126,0.80707717,1.8040867,126,0.79324496,0.34304023
127,0.6580545,1.4409152,127,0.8045482,0.11829382
128,0.6370327,3.158472,128,0.8101537,0.45873308
129,5.4378476,5.6187882,129,0.468573,0.5452598
130,0.777536,1.6006203,130,0.79483974,0.3162343
131,0.85915005,4.998003,131,0.7852257,0.6073696
132,0.7648616,5.9579735,132,0.7956741,0.76386875
133,0.7966169,3.400025,133,0.7942476,0.7231796
134,1.2332845,4.7604985,134,0.7704764,0.7959021
135,0.717374,2.650528,135,0.805376,0.3445593
136,0.7501366,1.7718458,136,0.797678,0.43119276
137,0.87968224,1.418258,137,0.78856945,0.93662167
138,0.9801844,2.752162,138,0.77220005,0.3679403
139,0.7921708,2.0881033,139,0.7976845,0.3424722
140,0.87149334,3.5858383,140,0.7833261,0.57067585
141,2.031412,2.909936,141,0.7215153,0.6229949
142,0.5989241,5.7362,142,0.8184325,0.2375589
143,0.8695179,3.1181974,143,0.78514653,0.013512492
144,0.90605855,3.9017787,144,0.78998256,0.59738094
145,1.002579,3.9822392,145,0.770719,0.61547637
146,1.5046299,5.0718107,146,0.75073206,0.8703942
147,5.4543996,3.6078506,147,0.4712261,0.1984253
148,0.84622985,4.256716,148,0.7911814,0.38317955
149,0.87107676,1.7280833,149,0.7866112,0.7029265
150,0.8758335,5.2889094,150,0.7912989,0.20973605
151,0.9436661,2.7171388,151,0.78411233,0.5915308
152,1.093682,5.554824,152,0.7676106,0.8268002
153,0.8828761,5.1522465,153,0.786224,0.19226915
154,1.1205491,2.9246497,154,0.77639884,0.3735661
155,0.7215376,2.5529847,155,0.80294716,0.48993522
156,0.604152,5.5664616,156,0.80927867,0.36053437
157,0.87425697,4.992826,157,0.7981095,0.10695386
158,0.6028482,4.252794,158,0.81965613,0.28576368
159,0.8445247,1.1598647,159,0.7953601,0.2456541
160,0.8284729,1.6420317,160,0.7880382,0.6356463
161,0.8041035,3.640204,161,0.7922765,0.7421167
162,0.9045109,5.034948,162,0.7859121,0.62344754
163,1.4981226,1.4391003,163,0.7429498,0.038151503
164,0.8614514,4.992273,164,0.7866408,0.4846112
165,0.8687071,2.9303913,165,0.7906628,0.14412534
166,0.8133076,2.1029687,166,0.7918283,0.753857
167,1.3392253,2.0131092,167,0.75117457,0.34390563
168,0.59906465,4.044306,168,0.80810624,0.12524956
169,0.9544963,3.8038855,169,0.78103757,0.7653878
170,0.85903883,4.7849445,170,0.78737676,0.04692793
171,0.8528579,1.9253273,171,0.79275686,0.64788723
172,1.0689502,1.5847416,172,0.7755327,0.21205616
173,0.6211454,1.8148682,173,0.81594044,0.074692786
174,0.87469155,3.1580791,174,0.7903044,0.39311177
175,0.61184597,4.158517,175,0.82006234,0.14272624
176,1.2815428,5.9086456,176,0.7653323,0.6918043
177,0.5942673,5.6023397,177,0.8086727,0.21791023
178,0.79872096,1.9950596,178,0.79287314,0.8337582
179,0.8754818,3.4232888,179,0.7915215,0.7936234
180,0.9030482,2.404261,180,0.7860784,0.64248663
181,0.7314292,2.2733178,181,0.79532874,0.41710156
182,0.8110969,1.3729498,182,0.79292816,0.72454625
183,0.79152906,1.8012754,183,0.7981493,0.27331305
184,2.013302,2.6937277,184,0.7143239,0.3082143
185,0.7231669,3.0630484,185,0.800176,0.71847963
186,0.8678864,4.172309,186,0.7842511,0.017392933
187,1.4168282,3.826552,187,0.75422645,0.48349696
